Title,Alternative Title,Description,Language,Creator,Publisher,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Information,Download,Image,Manifest,Identifier,Slug,Access Rights,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Genre,Type,Format,Geometry Type,Suppressed,Child
,"A new map of the whole continent of America : divided into North and South and West Indies wherein are exactly described the United States of North America as well as the several European possessions according to the preliminaries of peace signed at Versailles Jan. 20, 1783","Shows the Western Hemisphere with some political borders, tabular information indicates national possessions; cities and rivers.  Title from ornamental cartouche.  Relief shown pictorially.  Prime meridian: Ferro.  ""Publish'd by Laurie & Whittle, No. 53 Fleet Street, as the Act directs, 12th May 1794.""  Inset: The supplement to North America containing the countries adjoining to Baffins & Hudson bays.  Includes table, ""The Continent and Islands of America are Divided and Possessed as follows viz."" Dimensions: 102 x 117 centimeters",English,"Bourguignon d' Anville, Jean Baptiste, 1697-1782",Laurie & Whittle (London),,Western Hemisphere Maps Early Works to 1800|America Maps Early Works to 1800|North America Maps Early Works to 1800|South America Maps Early Works to 1800|West Indies Maps Early Works to 1800|Early Maps|Maps|Maps Western Hemisphere 18th Century,1794,,,North America; South America,,https://umedia.lib.umn.edu/item/p16022coll230:611,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/611/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/611,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/611/manifest.json,UMN_ALMA:9954586040001701,p16022coll230:611,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Bekins map of the East Bay cities,"Also covers Emeryville.   Includes street index.   Advertisements and ill. on verso.   Panel title: City map of Oakland, Berkeley, Alameda, Piedmont and surrounding suburbs combined population 400,000. Dimensions: 35 x 49 centimeters",English,Bekins Van & Storage Co.; Thomas Bros. Maps.,Bekins Van & Storage Co. (Oakland),,Oakland (Calif.) Maps|Berkeley (Calif.) Maps|Piedmont (Calif.) Maps|Emeryville (Calif.) Maps|Alameda (Calif.) Maps|Maps,1922,,,"Oakland; Berkeley, California",,https://umedia.lib.umn.edu/item/p16022coll205:383,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/383/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/383,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/383/manifest.json,UMN_ALMA:9943118640001701,p16022coll205:383,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Chart no. 1 of Apostle Islands including south coast of Lake Superior from Squaw Bay to Roys Point,"(W 91°06ʻ--W 90°20ʻ/N 47°10ʻ--N 46°50ʻ).   ""Compiled under..., from U. S. Surveys made between the years of 1868 and 1899. Published 1900."" Dimensions: 79 x 118 centimeters",English,United States. Army. Corps of Engineers.,"Corps of Engineers (Washington, D.C.?)",,Nautical Charts Wisconsin Apostle Islands|Apostle Islands (Wis.) Maps|Maps,1900,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:602,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/602/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/602,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/602/manifest.json,UMN_ALMA:9918541120001701,p16022coll230:602,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Chicago motor coach pictorial map of Chicago : Pictorial map of downtown Chicago,Cartographic Details: Scale not given.   Many buildings and sites shown with captions and ill.   Each map includes text.   Insets: Outline map of Chicago -- Loop distric map [of motor coach lines].   Contents: Pictorial map of Chicago -- Pictorial map of downtown Chicago. Dimensions: 86 x 56 centimeters,English,Clason Map Co.,Clason Map Co. (Chicago),,"Central Business Districts Illinois Chicago Maps|Bus Lines Illinois Chicago Maps|Chicago (Ill.) Buildings, Structures, Etc. Maps|Maps",1920 - 1929,,,"Chicago, Illinois",,https://umedia.lib.umn.edu/item/p16022coll205:354,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/354/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/354,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/354/manifest.json,UMN_ALMA:9954586840001701,p16022coll205:354,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,General map of the soils of Northern Wisconsin,"6 mi. to 1 in. (W 92°52ʹ--W 86°45ʹ/N 47°07ʹ--N 44°30ʹ).   ""Based on the work of the Soils and Geological Divisions of the Wisconsin Geological and Natural History Survey in cooperation with the College of Agriculture and the Bureau of Soils of the United States Department of Agriculture, which has been published in previous maps and reports."" Dimensions: 75 x 125 centimeters",English,"Whitson, A. R.",Wisconsin Geological and Natural History Survey (Madison),,"Soils Wisconsin Maps|Agricultural Resources Wisconsin Maps|Land Use, Rural Wisconsin Maps|Wisconsin Maps|Maps",1918,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:617,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/617/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/617,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/617/manifest.json,UMN_ALMA:9917200040001701,p16022coll230:617,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Gray's Atlas Map of New York.,"Prime meridians: Greenwich, Washington.  Includes inset maps of : Albany, Troy, Vicinity of New York, Oswego, Buffalo, Rochester, and Syracuse.  Includes on verso : Gray's atlas map of New York City, and Gray's atlas map of Connecticut with portions of New York & Rhode Island. Dimensions: 42 x 61 centimeters",English,"Gray, Ormando Wyllis, 1829-1912",O.W. Gray? (Philadelphia),,Connecticut Maps|New York (State) Maps|Maps,1873?,,,"New York, Connecticut; New York",,https://umedia.lib.umn.edu/item/p16022coll205:372,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/372/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/372,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/372/manifest.json,UMN_ALMA:9942239400001701,p16022coll205:372,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Hastings, M.T.",(W 92⁰51ʹ08ʺ--W 92⁰51ʹ08ʺ/N 44⁰44ʹ36ʺ--N 44⁰44ʹ36ʺ).   Relief shown by hachures.   Insets: Township map -- Hastings and vicinity. Dimensions: 75 x 60 centimeters,English,"Holmes, Payte & Buechner.",publisher not identified (United States?),,Hastings (Minn.) Maps|Maps,1857?,,,"Hastings, Minnesota",,https://umedia.lib.umn.edu/item/p16022coll205:366,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/366/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/366,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/366/manifest.json,UMN_ALMA:9931886840001701,p16022coll205:366,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Key-plan and index to the Royal Botanic Gardens, Kew.","Some buildings and vegetation shown pictorially.   Panel title.   Indexes to buildings and collections of trees and shrubs on verso.   ""Heliozincographed at the Ordnance Survey Office, Southampton, 1904.""   On panel: O.W. 400. Dimensions: 33 x 28 centimeters",English,"Royal Botanic Gardens, Kew.; Great Britain. Ordnance Survey.","Ordnance Survey Office (Richmond upon Thames, London?)",,"Royal Botanic Gardens, Kew Maps|Maps",1903,,,United Kingdom,,https://umedia.lib.umn.edu/item/p16022coll230:614,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/614/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/614,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/614/manifest.json,UMN_ALMA:9920612830001701,p16022coll230:614,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Map accompanying tentative report of March 10th, 1916, showing tentative use districts in the borough of Queens",Includes text. Dimensions: 62 x 97 centimeters,English,New York (N.Y.). Commission on Building Districts and Restrictions.,New York (N.Y.). Commission on Building Districts and Restrictions (New York?),,"Land Use New York (State) New York Maps|City Planning New York (State) New York Maps|Queens (New York, n.y.) Administrative and Political Divisions Maps|Maps",1916,,,"New York, New York",,https://umedia.lib.umn.edu/item/p16022coll205:360,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/360/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/360,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/360/manifest.json,UMN_ALMA:9929823770001701,p16022coll205:360,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Map exhibiting the country between lakes Michigan and Erie and the contested boundary lines,"Lithographed by: P.A. Mesier's Lith., 28 Wall St., N.Y.  Shows Indiana-Ohio-Michigan boundary region.  Area of dispute between Michigan and Ohio shown by color. Dimensions: 43.4 x 162 centimeters",English,"Burr, David H., 1803-1875",,,"Toledo War, 1835 Maps|Maps Shelf|Michigan Maps|Michigan Boundaries Ohio Maps|Ohio Boundaries Michigan Maps|Michigan Boundaries Indiana Maps|Indiana Boundaries Michigan Maps|Maps",1835,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:608,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/608/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/608,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/608/manifest.json,UMN_ALMA:9934669020001701,p16022coll230:608,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
