Title,Alternative Title,Description,Language,Creator,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Suppressed,Child Record
Baja California ...,Baja California ...,,English,American Geographical Society of New York,,,1924 - 1928,,,Baja California,,https://umedia.lib.umn.edu/item/p16022coll230:2894,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2894/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2894,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2894/manifest.json,UMN_ALMA:9973979307101701,p16022coll230:2894,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Colombia Prima or South America,Colombia Prima or South America,,English,"Delarochette, L. (Louis), 1731-1802",,,1833,,,South America,"-90.1667,-29.8667,12.85,-56.2333",https://umedia.lib.umn.edu/item/p16022coll230:2897,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2897/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2897,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2897/manifest.json,UMN_ALMA:9975273107601701,p16022coll230:2897,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Colton's Peru and Bolivia,Colton's Peru and Bolivia,,English,"Colton, G. Woolworth (George Woolworth), 1827-1901",,,1855,,,Peru; Bolivia,,https://umedia.lib.umn.edu/item/p16022coll230:2881,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2881/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2881,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2881/manifest.json,UMN_ALMA:9931314120001701,p16022coll230:2881,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Geographical and topographical map of the island of Cuba,Geographical and topographical map of the island of Cuba,,English,"Pichardo y Jiménez, Esteban Tranquilino",,,1873-11-27,,,Cuba,,https://umedia.lib.umn.edu/item/p16022coll230:2875,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2875/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2875,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2875/manifest.json,UMN_ALMA:9973999683601701,p16022coll230:2875,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Mapa de la República de Bolivia,Mapa de la República de Bolivia,,Spanish,"Puig, Victor",,,1901,,,Bolivia,,https://umedia.lib.umn.edu/item/p16022coll230:2869,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2869/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2869,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2869/manifest.json,UMN_ALMA:9973950071601701,p16022coll230:2869,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Mapa del Rio Magdalena,Mapa del Rio Magdalena,,Spanish,Colombia. Oficina de Longitudes,,,1929,,,Colombia,,https://umedia.lib.umn.edu/item/p16022coll230:2866,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2866/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2866,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2866/manifest.json,UMN_ALMA:9973950087101701,p16022coll230:2866,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Map drawn by Lieut. Lardner Gibbon to accompany his Report. 1854,Map drawn by Lieut. Lardner Gibbon to accompany his Report. 1854,,English,"Gibbon, Lardner",,,1854,,,South America,,https://umedia.lib.umn.edu/item/p16022coll230:2888,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2888/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2888,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2888/manifest.json,UMN_ALMA:9918623780001701,p16022coll230:2888,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Map of Central America,Map of Central America,,English,U.S. Coast and Geodetic Survey,,,1856,,,North America; South America,,https://umedia.lib.umn.edu/item/p16022coll230:2842,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2842/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2842,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2842/manifest.json,UMN_ALMA:9957963330001701,p16022coll230:2842,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Map of the Andes,Map of the Andes,,English,,,,1854,,,South America,,https://umedia.lib.umn.edu/item/p16022coll230:2878,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2878/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2878,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2878/manifest.json,UMN_ALMA:9918645670001701,p16022coll230:2878,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map of the rivers Huallaga, Ucayali, & Amazon : from the observations of Lieut. Wm. L. Herndon U.S.N.","Map of the rivers Huallaga, Ucayali, & Amazon : from the observations of Lieut. Wm. L. Herndon U.S.N.",,English,"Tyssowski, Jan, 1811-1856",,,1853,,,South America,"-77.3333,-45.8333,0.1667,-12.3333",https://umedia.lib.umn.edu/item/p16022coll230:2833,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/2833/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/2833,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/2833/manifest.json,UMN_ALMA:9944763350001701,p16022coll230:2833,Public,University of Minnesota,05d-01,05d-01,Active,Blacklight,2021-11-08,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
